X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,y
0,0.012987013,0.012987013,0.051948052,0.025974026,0.025974026,0,0,0,0,0.025974026,0,0,0,0,0,0,0.155844156,0,0,0,0.025974026,0.116883117,0,0,0,0.207792208,0,0,0.051948052,0,0.285714286,1
0.025641026,0,0.017094017,0.034188034,0.230769231,0,0,0.05982906,0,0.017094017,0.025641026,0,0.034188034,0,0,0.008547009,0.017094017,0.170940171,0.034188034,0.008547009,0,0.051282051,0.11965812,0.017094017,0,0,0.008547009,0.076923077,0,0.008547009,0,0.034188034,1
0.0125,0,0,0.15,0,0,0,0.2375,0,0,0,0,0.0375,0.0875,0,0,0,0,0,0,0,0,0.0125,0,0,0.4375,0,0.025,0,0,0,0,1
0,0,0.214285714,0,0.142857143,0,0.042857143,0,0,0,0,0.028571429,0,0,0,0,0,0.228571429,0,0,0.071428571,0.042857143,0.085714286,0.085714286,0,0,0.028571429,0.014285714,0,0,0.014285714,0,1
0,0,0.014285714,0,0.014285714,0.242857143,0,0,0,0.228571429,0,0,0,0,0,0,0.028571429,0.142857143,0,0,0,0.157142857,0,0,0,0,0,0,0,0.171428571,0,0,1
0.050802139,0,0.090909091,0.058823529,0.088235294,0,0.026737968,0.050802139,0.026737968,0.00802139,0.021390374,0,0.00802139,0,0.002673797,0.005347594,0.00802139,0.181818182,0.016042781,0,0,0.045454545,0.016042781,0.056149733,0.042780749,0.040106952,0.013368984,0.056149733,0,0.026737968,0.00802139,0.050802139,1
0.406315789,0.003684211,0.005789474,0.004736842,0.016842105,0,0.005263158,0.048421053,0.01,0.012631579,0.011052632,0.034736842,0.008421053,0.000526316,0.025263158,0.012105263,0.093157895,0.025263158,0.000526316,0.135263158,0,0.002105263,0.028947368,0.000526316,0.01,0.032105263,0.006842105,0.052105263,0,0.001052632,0.004736842,0.001578947,1
0.01754386,0,0.101754386,0.038596491,0.105263158,0,0.028070175,0.087719298,0.007017544,0,0.035087719,0,0.049122807,0,0.021052632,0.010526316,0.066666667,0.09122807,0,0.01754386,0,0,0.073684211,0,0.01754386,0,0.045614035,0.175438596,0.003508772,0,0.007017544,0,1
0.083333333,0.01171875,0.01953125,0.024739583,0.036458333,0.005208333,0,0.009114583,0.104166667,0.024739583,0.041666667,0,0,0,0.013020833,0.001302083,0.154947917,0.067708333,0.05078125,0,0,0.036458333,0.0078125,0.016927083,0.029947917,0.002604167,0.009114583,0.096354167,0,0.013020833,0.002604167,0.13671875,1
0,0,0,0.071428571,0.014285714,0.15,0,0.078571429,0.007142857,0,0.021428571,0,0,0.021428571,0,0.021428571,0,0.228571429,0.085714286,0,0,0.071428571,0.064285714,0,0,0.142857143,0.014285714,0,0,0.007142857,0,0,1
