X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,y
0.025882353,0.162352941,0.032941176,0.16,0.007058824,0.016470588,0,0.110588235,0.007058824,0,0.061176471,0,0,0,0.037647059,0,0,0.058823529,0,0,0.002352941,0.032941176,0.004705882,0,0.049411765,0.021176471,0,0.178823529,0,0.028235294,0,0.002352941,0
0.007692308,0,0.061538462,0.038461538,0.015384615,0,0.053846154,0,0,0,0.053846154,0.038461538,0.038461538,0.1,0,0.046153846,0,0.169230769,0,0,0,0.023076923,0.146153846,0.023076923,0.007692308,0.146153846,0,0.007692308,0,0,0,0.023076923,0
0.004464286,0.007440476,0,0.005952381,0.089285714,0.016369048,0,0.102678571,0.001488095,0,0.038690476,0.098214286,0.080357143,0.016369048,0.00297619,0.004464286,0,0.150297619,0,0.016369048,0.001488095,0.211309524,0.055059524,0.007440476,0,0.001488095,0.001488095,0.046130952,0,0.040178571,0,0,0
0.071428571,0,0.125,0.007142857,0.046428571,0.021428571,0.021428571,0.05,0,0.057142857,0,0.003571429,0.007142857,0.003571429,0.064285714,0,0.05,0.046428571,0.007142857,0,0.003571429,0.060714286,0.057142857,0.071428571,0.014285714,0.021428571,0.035714286,0.035714286,0,0.003571429,0.085714286,0.028571429,0
0.007272727,0.002424242,0.023636364,0.00969697,0.004848485,0.568484848,0.000606061,0.005454545,0,0.023030303,0.005454545,0.001818182,0,0,0,0.010909091,0.041818182,0.024848485,0.02969697,0,0,0.034545455,0.012727273,0.004242424,0,0,0.006666667,0,0.001212121,0.136363636,0.001212121,0.043030303,0
0,0.0125,0.0625,0,0.075,0.2,0.025,0,0,0,0,0.075,0.05,0,0,0,0,0.05,0,0,0.125,0.1625,0,0,0,0.0125,0,0,0,0.125,0,0.025,0
0.02,0,0.023333333,0.086666667,0.003333333,0,0.003333333,0.016666667,0.02,0.023333333,0.016666667,0,0.103333333,0.136666667,0.016666667,0.113333333,0.016666667,0.04,0.003333333,0,0,0,0.053333333,0.09,0.09,0.006666667,0.006666667,0.073333333,0,0,0,0.036666667,0
0,0.024390244,0.00087108,0,0.015679443,0.007839721,0,0,0.00174216,0,0.00174216,0.392857143,0.039198606,0,0,0,0,0.058362369,0.00087108,0.00087108,0.149825784,0.167247387,0,0,0,0,0,0,0,0.138501742,0,0,0
0.068181818,0.053765265,0.0078019,0.009497965,0.023744912,0.007462687,0.005257802,0.042232022,0.09582768,0,0.026797829,0.001017639,0.020352782,0.072082768,0.178256445,0.019674355,0,0.02238806,0.000848033,0.003561737,0.006784261,0.016621438,0.005088195,0.017469471,0.080054274,0.117537313,0,0.078697422,0,0.01848711,0,0.00050882,0
0.033333333,0.053333333,0,0,0.14,0.003333333,0,0,0.02,0.043333333,0.036666667,0.14,0.056666667,0.043333333,0,0,0,0.116666667,0,0.003333333,0,0.02,0,0,0,0.036666667,0,0.006666667,0,0.056666667,0.19,0,0
0.1125,0,0,0.0375,0.0125,0,0,0.0375,0.0875,0,0.1875,0,0.125,0.0625,0.0375,0,0,0,0,0,0,0.0125,0,0,0,0.2,0,0.0625,0,0.0125,0,0.0125,0
0.016003658,0.202103338,0.057613169,0.081161408,0.020118884,0.009830818,0.021490626,0.029721079,0.053726566,0.000228624,0.087105624,0.003886603,0.013946045,0.143804298,0.002286237,0.043895748,0.002057613,0.048925469,0.00434385,0.004115226,0.012802926,0.024462734,0.003657979,0.012802926,0.001143118,0.01486054,0.014174668,0.022405121,0.000914495,0.043667124,0.000685871,0.002057613,0
0,0.025641026,0.017094017,0.068376068,0.025641026,0.068376068,0,0.085470085,0.170940171,0,0.042735043,0,0,0,0,0.11965812,0,0.076923077,0.085470085,0,0,0,0.136752137,0,0.008547009,0,0.025641026,0,0,0.025641026,0,0.017094017,0
0.085882353,0.003529412,0.022941176,0.002352941,0.085294118,0.067058824,0.000588235,0.025882353,0,0.000588235,0.01,0.017647059,0.007058824,0.011176471,0.001764706,0.011764706,0.377058824,0.053529412,0.058235294,0.004705882,0.000588235,0.020588235,0.001176471,0.002352941,0,0.000588235,0,0,0,0.027647059,0,0.1,0
